Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
27/05/2019;0.125;0.25;0.25;0.25;0;0.125;0;0;57.14285714
30/05/2019;0.3333;0;0;0;0.1667;0;0.3333;0.1667;0
02/06/2019;0;0.28567143;0.14288571;0.28567143;0;0.14288571;0;0.14288571;60.00279995
03/06/2019;0.11111111;0.11111111;0.11111111;0.11111111;0.22222222;0.11111111;0.11111111;0.11111111;50
04/06/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
05/06/2019;0.33333333;0;0.33333333;0;0.33333333;0;0;0;50
11/06/2019;0.15;0.05;0.15;0.2;0.15;0;0.2;0.1;63.63636363
13/06/2019;0.33333333;0;0;0;0.33333333;0;0.33333333;0;0
14/06/2019;0.5;0;0;0.5;0;0;0;0;50
16/06/2019;0.5;0;0.5;0;0;0;0;0;50
17/06/2019;0.3125;0.0625;0.125;0.0625;0.25;0.0625;0.125;0;33.33333333
18/06/2019;0;0;0;0.5;0;0.5;0;0;100
19/06/2019;0.33326667;0.16668333;0.16668333;0.16668333;0.16668333;0;0;0;40.00479962
23/06/2019;0.33333333;0;0.33333333;0;0.33333333;0;0;0;50
24/06/2019;0.2;0;0.25;0.1;0.25;0;0.1;0.1;63.63636363
25/06/2019;0.28567143;0;0.28567143;0;0.14288571;0;0.14288571;0.14288571;50
28/06/2019;0.25;0;0;0.75;0;0;0;0;75
29/06/2019;0.16071607;0.07140714;0.14291429;0.19641964;0.16071607;0.07140714;0.1250125;0.07140714;59.38046903
01/07/2019;0.35713571;0;0.07140714;0.28572857;0.07140714;0;0.07140714;0.14291429;50
02/07/2019;0;0;0.5;0;0;0.5;0;0;100
04/07/2019;0.25;0;0;0;0;0;0.75;0;0
05/07/2019;0.49995;0.16668333;0;0;0;0.16668333;0;0.16668333;0
06/07/2019;0;0.5;0;0.5;0;0;0;0;50
07/07/2019;0.27777222;0.05559444;0.11108889;0.22217778;0.05559444;0.11108889;0.11108889;0.05559444;49.99250037
11/07/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
13/07/2019;0.25;0;0.25;0;0.25;0;0.125;0.125;50
14/07/2019;0.0869913;0.0869913;0.13038696;0.34776522;0.0869913;0.13038696;0.04349565;0.0869913;73.32106716
15/07/2019;0;0.25;0;0.5;0;0.25;0;0;66.66666667
17/07/2019;0.2857;0;0.3571;0;0.1429;0.0714;0.1429;0;55.55382701
19/07/2019;0.1667;0;0.5;0;0;0;0.3333;0;74.99625019
