Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
05/04/2019;0.13888611;0.16668333;0.11108889;0.249975;0.11108889;0.13888611;0.02779722;0.05559444;54.16229188
06/04/2019;0.22222222;0.11111111;0.22222222;0.22222222;0;0.11111111;0;0.11111111;57.14285714
07/04/2019;0.0909;0.0909;0;0.2273;0.1818;0.0909;0.1818;0.1364;55.56098753
08/04/2019;0.16668333;0.04169583;0.1249875;0.20827917;0.1249875;0.04169583;0.249975;0.04169583;61.52852133
09/04/2019;0.18371837;0.06120612;0.20412041;0.24492449;0.1020102;0.06120612;0.08160816;0.06120612;64.70673007
10/04/2019;0.19051905;0.07140714;0.23812381;0.23812381;0.09520952;0.02380238;0.1190119;0.02380238;64.51700312
11/04/2019;0.24;0.04;0.2;0.22;0.06;0.08;0.14;0.02;60
12/04/2019;0.19231923;0;0.15381538;0.15381538;0.19231923;0.07690769;0.19231923;0.03850385;61.53230646
13/04/2019;0.20882088;0.06590659;0.18681868;0.12091209;0.16481648;0.08790879;0.08790879;0.07690769;52.83310439
14/04/2019;0.13508649;0.05409459;0.18918108;0.16218378;0.16218378;0.08109189;0.10808919;0.10808919;65.00184979
15/04/2019;0.2143;0.0357;0.25;0.1786;0.1071;0.0714;0;0.1429;63.15944592
16/04/2019;0.17778222;0.06669333;0.11108889;0.26667333;0.17778222;0.08889111;0.08889111;0.02219778;60.71026836
17/04/2019;0.15;0.05;0.15;0.15;0.15;0.075;0.15;0.125;60
18/04/2019;0.26317368;0.05259474;0.10528947;0.26317368;0.21047895;0.10528947;0;0;53.85065029
19/04/2019;0.1622;0.1351;0.0541;0.2162;0.0811;0.1081;0.1351;0.1081;47.62156448
20/04/2019;0.14292859;0.1190238;0.07141428;0.30956191;0.07141428;0.09521904;0.09521904;0.09521904;59.25637806
21/04/2019;0.25;0;0.5;0;0;0;0.25;0;66.66666667
22/04/2019;0.0909;0.0909;0.1818;0.3636;0.0455;0;0.2273;0;75
23/04/2019;0.125;0.125;0.125;0.3125;0.0625;0.125;0.0625;0.0625;63.63636363
24/04/2019;0.15151515;0.03030303;0.15151515;0.33333333;0.06060606;0.09090909;0.06060606;0.12121212;72.72727273
25/04/2019;0.08929107;0.03569643;0.21427857;0.30356964;0.05359464;0.14288571;0.08929107;0.07139286;80.55685176
26/04/2019;0.125;0.15;0.15;0.1;0.15;0.125;0.125;0.075;47.61904762
27/04/2019;0.2;0;0.16;0.16;0.16;0.04;0.24;0.04;61.53846154
28/04/2019;0.2157;0.0392;0.2157;0.1569;0.098;0.0784;0.1373;0.0588;59.37848605
29/04/2019;0.19508049;0.04879512;0.24387561;0.14628537;0.1219878;0.1219878;0.04879512;0.07319268;61.53603532
30/04/2019;0.1190119;0.04760476;0.14291429;0.26192619;0.1190119;0.04760476;0.19051905;0.07140714;70.84354218
01/05/2019;0.25425085;0.06781356;0.13562713;0.08471694;0.22034407;0.08471694;0.08471694;0.06781356;40.6232716
02/05/2019;0.125;0.0625;0.0625;0.3125;0.1875;0.125;0.0625;0.0625;66.66666667
